Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_Cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_Cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
2025-02-18 00:00:00,04:21:24,CNR0000060,Success,CUST68867,Prime Sedan,Andheri,Grant Road,3.12,12.14,No,,No,,No,,117.6,10.07,4.97,4.85
2025-02-12 00:00:00,12:17:23,CNR0000061,Incomplete,CUST91574,Prime SUV,Worli,Kharghar,,,No,,No,,Yes,Customer Demand,,,,
2025-02-13 00:00:00,21:14:56,CNR0000062,Cancelled by Customer,CUST59909,Prime Plus,Mulund,Bhayandar,,,Yes,Driver is not moving towards pickup location,No,,No,,,,,
2025-02-27 00:00:00,21:35:13,CNR0000063,Success,CUST19219,Prime Sedan,Matunga,Khar,5.52,2.57,No,,No,,No,,488.5,23.56,4.93,3.68
2025-02-21 00:00:00,13:56:47,CNR0000064,Success,CUST97946,Prime Plus,Ghatkopar,Kharghar,5.02,7.34,No,,No,,No,,493.08,13.86,3.57,4.97
2025-02-17 00:00:00,07:43:19,CNR0000065,Incomplete,CUST48629,Auto,Vile Parle,Ghansoli,,,No,,No,,Yes,Customer Demand,,,,
2025-02-14 00:00:00,21:49:37,CNR0000066,Success,CUST85878,Prime SUV,Khar,Kalamboli,4.82,14.76,No,,No,,No,,863.61,3.04,4.01,4.97
2025-02-20 00:00:00,07:34:48,CNR0000067,Success,CUST80425,eBike,Ulwe,Airoli,9.23,5.31,No,,No,,No,,1418.45,17.93,3.79,3.91
2025-02-10 00:00:00,11:03:37,CNR0000068,Success,CUST80191,eBike,Dombivli,Kandivali,9.69,12.72,No,,No,,No,,1046.94,4.51,3.59,4.85
2025-02-19 00:00:00,20:40:06,CNR0000069,Success,CUST68624,Mini,Prabhadevi,Parel,7.43,4.12,No,,No,,No,,1435.05,4.94,4.96,4.39
2025-02-16 00:00:00,22:45:07,CNR0000070,Success,CUST62800,Mini,Goregaon,Churchgate,9.73,5.57,No,,No,,No,,1106.14,10.9,4.98,4.08
2025-02-01 00:00:00,19:41:38,CNR0000071,Success,CUST64732,Prime SUV,Vile Parle,Ulwe,9.11,13.43,No,,No,,No,,128.01,28.43,4.21,4.69
2025-02-05 00:00:00,05:10:41,CNR0000072,Success,CUST81415,Prime SUV,Taloja,Malad,8.95,11.51,No,,No,,No,,764.45,21.68,4.29,3.82
2025-02-26 00:00:00,18:49:23,CNR0000073,Success,CUST59138,Prime SUV,Panvel,Marine Lines,8.4,14.72,No,,No,,No,,978.97,19.18,4.8,4.67
2025-02-16 00:00:00,23:19:14,CNR0000074,Cancelled by Driver,CUST39958,Prime Plus,Santacruz,Powai,,,No,,Yes,Personal & Car related issues,No,,,,,
2025-02-03 00:00:00,12:52:03,CNR0000075,Success,CUST37695,Auto,Marine Lines,Marine Lines,5.95,8.2,No,,No,,No,,1125.45,21.61,3.58,4.12
2025-02-24 00:00:00,19:57:54,CNR0000076,Success,CUST60847,Auto,Seawoods,Sion,5.66,10.82,No,,No,,No,,1400.06,13.99,4.51,4.75
2025-02-08 00:00:00,01:44:05,CNR0000077,Success,CUST10223,Prime Sedan,Dadar,Airoli,4.33,2.76,No,,No,,No,,1369.35,14.86,4.08,3.71
2025-02-27 00:00:00,02:24:38,CNR0000078,Success,CUST14322,Auto,Kalyan,Mulund,3.74,10.49,No,,No,,No,,596.16,25.17,4.4,4.47
2025-02-26 00:00:00,03:34:34,CNR0000079,Success,CUST78489,Auto,Kurla,Sion,2.76,2.31,No,,No,,No,,430.87,10.61,4.38,4.29
2025-02-09 00:00:00,23:43:19,CNR0000080,Success,CUST94004,Prime Plus,Sion,Sion,8.65,6.96,No,,No,,No,,1320.28,12.84,4.76,4.15
2025-02-23 00:00:00,15:59:17,CNR0000081,Incomplete,CUST87122,Prime Sedan,Powai,Belapur,,,No,,No,,Yes,Vehicle Breakdown,,,,
2025-02-10 00:00:00,15:14:33,CNR0000082,Success,CUST51632,Auto,Mulund,Bhayandar,8.99,6.16,No,,No,,No,,1384.28,4.93,4.5,4.3
2025-02-04 00:00:00,16:31:12,CNR0000083,Success,CUST79521,Prime Sedan,Koparkhairane,Kalamboli,7.45,5.81,No,,No,,No,,1276.23,22.24,3.79,3.52
2025-02-08 00:00:00,00:00:19,CNR0000084,Incomplete,CUST76931,eBike,Goregaon,Powai,,,No,,No,,Yes,Other Issue,,,,
2025-02-24 00:00:00,06:43:44,CNR0000085,Success,CUST16835,Bike,Churchgate,Worli,6.11,5.1,No,,No,,No,,1197.62,9.73,4.09,4.56
2025-02-05 00:00:00,21:14:50,CNR0000086,Success,CUST45390,eBike,Byculla,Panvel,8.4,6.75,No,,No,,No,,1132.72,7.21,3.71,4.89
2025-02-28 00:00:00,04:54:11,CNR0000087,Success,CUST51851,eBike,Wadala,Powai,3.06,11,No,,No,,No,,412.52,14.05,3.5,4.59
2025-02-06 00:00:00,23:24:40,CNR0000088,Cancelled by Driver,CUST68302,Prime Plus,Byculla,Andheri,,,No,,Yes,Customer related issue,No,,,,,
2025-02-26 00:00:00,02:40:19,CNR0000089,Success,CUST37595,eBike,Churchgate,Worli,3.25,5.77,No,,No,,No,,148.3,28.87,3.88,4.05
2025-02-20 00:00:00,14:36:47,CNR0000090,Success,CUST49097,Mini,Kandivali,Kharghar,2.24,8.24,No,,No,,No,,521.94,3.62,3.76,4.51
2025-02-07 00:00:00,08:59:16,CNR0000091,Success,CUST57508,Mini,Kalyan,Vashi,6.48,12.5,No,,No,,No,,235.12,14.29,4.39,4.95
2025-02-09 00:00:00,04:49:39,CNR0000092,Success,CUST82541,Prime Plus,Andheri,Chembur,2.64,10.21,No,,No,,No,,1179.58,13.18,3.72,4.33
2025-02-01 00:00:00,02:55:47,CNR0000093,Success,CUST70671,eBike,Vile Parle,Nerul,6.63,9.04,No,,No,,No,,1249.37,15.32,4.84,4.33
2025-02-03 00:00:00,21:54:42,CNR0000094,Success,CUST65587,Bike,Juhu,Grant Road,7.89,14.41,No,,No,,No,,430.06,12.92,3.56,3.99
2025-02-11 00:00:00,09:06:36,CNR0000095,Cancelled by Customer,CUST26791,Prime Plus,Taloja,Andheri,,,Yes,Change of plans,No,,No,,,,,
2025-02-24 00:00:00,19:51:28,CNR0000096,Success,CUST82817,Auto,Matunga,Airoli,3.73,12.02,No,,No,,No,,699.2,6.64,4.54,3.69
2025-02-16 00:00:00,03:57:34,CNR0000097,Success,CUST16034,Auto,Andheri,Kurla,4.97,2.22,No,,No,,No,,1040.31,23.75,4.4,4.73
2025-02-16 00:00:00,21:12:34,CNR0000098,Success,CUST86456,Prime Sedan,CBD Belapur,Parel,2.86,13.71,No,,No,,No,,243.26,14.26,3.58,4.44
2025-02-24 00:00:00,15:19:08,CNR0000099,Success,CUST44458,Prime Plus,Kandivali,Thane,5.28,13.2,No,,No,,No,,1038.01,7.17,4.26,3.71
2025-02-26 00:00:00,00:58:31,CNR0000100,Success,CUST52157,Mini,Kharghar,Taloja,8.66,10.81,No,,No,,No,,1130.89,26.86,4.45,4.27
2025-02-08 00:00:00,21:43:24,CNR0000101,Success,CUST63301,Bike,Churchgate,Vashi,8.54,5.81,No,,No,,No,,939.48,14.68,4.63,4.59
2025-02-20 00:00:00,18:47:46,CNR0000102,Success,CUST78235,Prime Plus,Juhu,Prabhadevi,4.91,2.01,No,,No,,No,,945.25,4.53,4.41,4.75
2025-02-11 00:00:00,00:58:42,CNR0000103,Success,CUST57176,Prime SUV,Thane,Jogeshwari,9.08,8.33,No,,No,,No,,521.67,9.95,3.73,4.92
2025-02-15 00:00:00,15:58:45,CNR0000104,Incomplete,CUST66965,Prime Sedan,Worli,Dahisar,,,No,,No,,Yes,Other Issue,,,,
2025-02-01 00:00:00,14:29:29,CNR0000105,Success,CUST90320,Auto,Borivali,Khar,6.56,13.15,No,,No,,No,,1365.83,8.17,3.62,4.11
2025-02-25 00:00:00,10:42:34,CNR0000106,Success,CUST36641,Bike,Bhayandar,Khar,5.57,5.13,No,,No,,No,,275.15,29.72,4.86,4.81
2025-02-24 00:00:00,20:24:42,CNR0000107,Incomplete,CUST85825,Prime SUV,Mulund,Lower Parel,,,No,,No,,Yes,Customer Demand,,,,
2025-02-24 00:00:00,23:55:21,CNR0000108,Success,CUST35458,Prime Sedan,Malad,Vile Parle,2.63,14.51,No,,No,,No,,356.4,25.2,3.62,3.6
2025-02-02 00:00:00,23:44:59,CNR0000109,Cancelled by Driver,CUST34991,Prime Plus,Mira Road,Belapur,,,No,,Yes,Customer related issue,No,,,,,
2025-02-18 00:00:00,01:08:30,CNR0000110,Cancelled by Customer,CUST36793,Prime Plus,Dadar,Churchgate,,,Yes,Change of plans,No,,No,,,,,
2025-02-14 00:00:00,04:40:39,CNR0000111,Success,CUST92345,Bike,Mira Road,Santacruz,3.52,9.61,No,,No,,No,,508.72,26.69,4.17,4.39
2025-02-04 00:00:00,03:13:12,CNR0000112,Success,CUST68668,Prime Sedan,Kurla,Kurla,9.85,10.53,No,,No,,No,,871.08,2.79,3.86,4.76
2025-02-01 00:00:00,00:11:51,CNR0000113,Cancelled by Driver,CUST65212,Bike,Khar,Chembur,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-25 00:00:00,23:57:24,CNR0000114,Success,CUST86477,Bike,Ghansoli,Byculla,7.3,8.59,No,,No,,No,,361.22,4.62,4.33,4.37
2025-02-14 00:00:00,20:14:45,CNR0000115,Success,CUST32072,eBike,Kalyan,Thane,7.08,8.35,No,,No,,No,,511.2,23.47,3.53,4.45
2025-02-07 00:00:00,20:13:54,CNR0000116,Success,CUST33849,Prime Sedan,Ghansoli,Kurla,7.35,13.29,No,,No,,No,,1225.15,16.44,4.35,4.89
2025-02-21 00:00:00,13:47:14,CNR0000117,Cancelled by Driver,CUST23497,Prime SUV,Panvel,Charni Road,,,No,,Yes,Customer related issue,No,,,,,
2025-02-22 00:00:00,11:48:03,CNR0000118,Cancelled by Customer,CUST19837,Prime Sedan,Goregaon,Santacruz,,,Yes,AC is not working,No,,No,,,,,
2025-02-07 00:00:00,13:03:25,CNR0000119,Incomplete,CUST48313,eBike,Grant Road,Matunga,,,No,,No,,Yes,Customer Demand,,,,
2025-02-03 00:00:00,05:00:35,CNR0000120,Cancelled by Driver,CUST53234,Mini,Wadala,Juhu,,,No,,Yes,Customer related issue,No,,,,,
2025-02-13 00:00:00,19:44:52,CNR0000121,Success,CUST66687,Bike,CBD Belapur,Sion,4.11,12.07,No,,No,,No,,1312.15,29.71,3.72,4.34
2025-02-28 00:00:00,10:45:53,CNR0000122,Success,CUST53238,Mini,Powai,Kharghar,5.53,9.2,No,,No,,No,,1249,26.24,4.46,3.73
2025-02-22 00:00:00,12:21:34,CNR0000123,Success,CUST67317,Mini,Kharghar,Churchgate,5.37,14.56,No,,No,,No,,1206.42,20.8,3.64,4.47
2025-02-12 00:00:00,16:33:57,CNR0000124,Success,CUST90551,Bike,CBD Belapur,Panvel,6.8,2.09,No,,No,,No,,269.24,21.2,4.82,4.17
2025-02-08 00:00:00,04:38:48,CNR0000125,Cancelled by Driver,CUST87162,Mini,Byculla,Ghatkopar,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-14 00:00:00,10:05:07,CNR0000126,Success,CUST72245,eBike,Worli,Kharghar,6.3,4.05,No,,No,,No,,655.24,22.97,4.64,3.57
2025-02-09 00:00:00,09:52:35,CNR0000127,Success,CUST84015,Prime Plus,Bhayandar,Kurla,7.94,6.89,No,,No,,No,,930.47,7.17,3.92,3.62
2025-02-12 00:00:00,05:01:53,CNR0000128,Incomplete,CUST16867,Prime Plus,Mulund,Prabhadevi,,,No,,No,,Yes,Vehicle Breakdown,,,,
2025-02-13 00:00:00,23:07:10,CNR0000129,Success,CUST25871,Auto,Airoli,Mira Road,2.15,7.75,No,,No,,No,,224.32,4.77,4.62,4.53
2025-02-12 00:00:00,11:31:43,CNR0000130,Success,CUST79161,Mini,Khar,Matunga,5.39,9.91,No,,No,,No,,1102.05,22.17,4.01,4.25
2025-02-21 00:00:00,12:32:28,CNR0000131,Success,CUST82290,Prime Sedan,Kalyan,Jogeshwari,4.12,7.11,No,,No,,No,,322.26,6.58,3.75,4.59
2025-02-05 00:00:00,10:29:22,CNR0000132,Incomplete,CUST73802,Prime SUV,Thane,Jogeshwari,,,No,,No,,Yes,Customer Demand,,,,
2025-02-08 00:00:00,01:38:36,CNR0000133,Success,CUST52693,eBike,Bhayandar,Prabhadevi,3.86,9.47,No,,No,,No,,1340.81,28.27,4.19,3.64
2025-02-08 00:00:00,00:48:50,CNR0000134,Success,CUST15050,eBike,Byculla,Khar,9.92,2.93,No,,No,,No,,859.16,10.86,4.12,4.76
2025-02-14 00:00:00,16:51:29,CNR0000135,Cancelled by Driver,CUST16114,Prime SUV,Bhayandar,Churchgate,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-05 00:00:00,07:33:16,CNR0000136,Success,CUST27360,Mini,Churchgate,Belapur,7.39,6.14,No,,No,,No,,1075.24,29.23,4.37,4.16
2025-02-26 00:00:00,20:18:41,CNR0000137,Success,CUST28043,eBike,Koparkhairane,Bandra,7.56,9.44,No,,No,,No,,362.36,2.25,4.64,4.85
2025-02-17 00:00:00,14:55:53,CNR0000138,Success,CUST46997,Prime Plus,Mumbai Central,Dahisar,2.16,9.72,No,,No,,No,,134.35,27.23,4.13,4.77
2025-02-19 00:00:00,22:08:52,CNR0000139,Success,CUST18369,eBike,Kharghar,Marine Lines,4.95,6.72,No,,No,,No,,504.97,17.95,4.84,3.7
2025-02-01 00:00:00,12:57:14,CNR0000140,Cancelled by Driver,CUST62380,Auto,Powai,Colaba,,,No,,Yes,Personal & Car related issues,No,,,,,
2025-02-14 00:00:00,10:24:14,CNR0000141,Success,CUST98797,eBike,Ulwe,Koparkhairane,6.33,8.42,No,,No,,No,,1494.47,20.6,4.34,3.88
2025-02-11 00:00:00,12:28:29,CNR0000142,Success,CUST93143,Bike,Marine Lines,Taloja,7.3,2.32,No,,No,,No,,615.83,25.29,4.27,3.58
2025-02-24 00:00:00,22:40:41,CNR0000143,Success,CUST29598,eBike,Malad,Dadar,9.54,8.38,No,,No,,No,,795,22.27,4.1,3.82
2025-02-18 00:00:00,16:03:14,CNR0000144,Cancelled by Driver,CUST63598,Prime Sedan,Kalyan,Andheri,,,No,,Yes,Customer related issue,No,,,,,
2025-02-08 00:00:00,00:24:15,CNR0000145,Incomplete,CUST71239,Prime Plus,Borivali,Marine Lines,,,No,,No,,Yes,Other Issue,,,,
2025-02-26 00:00:00,21:22:56,CNR0000146,Incomplete,CUST63893,Prime Sedan,Koparkhairane,Ulwe,,,No,,No,,Yes,Other Issue,,,,
2025-02-25 00:00:00,18:11:18,CNR0000147,Success,CUST95343,Prime Plus,Kharghar,CBD Belapur,3.94,6.31,No,,No,,No,,1108.65,7.85,4.73,3.84
2025-02-11 00:00:00,05:26:46,CNR0000148,Success,CUST98825,Auto,Airoli,Mira Road,6.36,8.87,No,,No,,No,,824.7,20.08,3.63,3.51
2025-02-21 00:00:00,23:41:53,CNR0000149,Success,CUST52985,eBike,Ghatkopar,Bhayandar,5.4,7.39,No,,No,,No,,418.61,28.16,3.62,3.69
2025-02-01 00:00:00,23:17:58,CNR0000150,Cancelled by Customer,CUST36260,Prime SUV,Nerul,Powai,,,Yes,AC is not working,No,,No,,,,,
2025-02-13 00:00:00,10:57:49,CNR0000151,Success,CUST15980,Prime Plus,Belapur,Mira Road,2.33,14.5,No,,No,,No,,1204.47,17.6,4.55,4.4
2025-02-02 00:00:00,05:54:33,CNR0000152,Success,CUST56891,Bike,Goregaon,Kalyan,8.24,2.76,No,,No,,No,,787.71,19.55,4.68,4.24
2025-02-10 00:00:00,08:46:47,CNR0000153,Success,CUST72748,Mini,Ghatkopar,CBD Belapur,6.49,11.89,No,,No,,No,,1278.03,7.75,4.59,3.94
2025-02-25 00:00:00,13:57:06,CNR0000154,Incomplete,CUST63370,Prime Sedan,Dahisar,Goregaon,,,No,,No,,Yes,Customer Demand,,,,
2025-02-19 00:00:00,13:26:28,CNR0000155,Success,CUST38985,Auto,Seawoods,Prabhadevi,6.29,7.09,No,,No,,No,,299.05,29.02,3.58,4.05
2025-02-20 00:00:00,02:26:05,CNR0000156,Cancelled by Driver,CUST34675,Mini,Belapur,Ghatkopar,,,No,,Yes,The customer was coughing/sick,No,,,,,
2025-02-02 00:00:00,15:44:43,CNR0000157,Cancelled by Driver,CUST20833,Auto,Mira Road,Juhu,,,No,,Yes,More than permitted people in there,No,,,,,
2025-02-03 00:00:00,10:23:31,CNR0000158,Cancelled by Driver,CUST15190,Prime SUV,Goregaon,Ghansoli,,,No,,Yes,Customer related issue,No,,,,,
2025-02-13 00:00:00,13:43:22,CNR0000159,Incomplete,CUST58824,Auto,Prabhadevi,Churchgate,,,No,,No,,Yes,Vehicle Breakdown,,,,
2025-02-08 00:00:00,02:10:36,CNR0000160,Cancelled by Driver,CUST44050,Prime Sedan,Thane,Andheri,,,No,,Yes,The customer was coughing/sick,No,,,,,
2025-02-03 00:00:00,11:10:32,CNR0000161,Success,CUST37163,Prime SUV,Dahisar,Wadala,4.85,12.42,No,,No,,No,,315.02,22.73,3.91,4.55
